siren,date_cloture_exercice,ca,resultat_net,type_bilan,annee_cloture_exercice
389675018,2021-12-31,117100866.0,10435396.0,C,2021
389675018,2020-12-31,97340086.0,4219223.0,C,2020
389675018,2019-12-31,106197507.0,5031376.0,C,2019
389743303,2021-12-31,11380416.0,325356.0,C,2021
389743303,2020-12-31,10529047.0,-789912.0,C,2020
389743303,2019-12-31,11939798.0,-34164.0,C,2019
389755463,2022-12-31,9999627.0,222083.0,C,2022
389755463,2021-12-31,9530398.0,190857.0,C,2021
389755463,2020-12-31,8283725.0,64051.0,C,2020
389755463,2019-12-31,8746369.0,167229.0,C,2019
389816455,2021-12-31,38236895.0,237790.0,C,2021
389816455,2020-12-31,38902864.0,-20725608.0,C,2020
389816455,2019-12-31,56185191.0,942572.0,C,2019
389818907,2021-12-31,154772749.0,8238456.0,C,2021
389818907,2020-12-31,138943069.0,6008313.0,C,2020
389818907,2019-12-31,158607733.0,6426563.0,C,2019
390072551,2022-12-31,1134612110.0,139931478.0,C,2022
390072551,2021-12-31,1153634158.0,152909440.0,C,2021
390072551,2020-12-31,1026858024.0,116568121.0,C,2020
390072551,2019-12-31,894676663.0,106320116.0,C,2019
390199669,2020-12-31,202338000.0,30818000.0,C,2020
390199669,2019-12-31,280028.0,15201.0,C,2019
390398055,2022-12-31,300951494.0,15103192.0,C,2022
390398055,2021-12-31,275478763.0,11395023.0,C,2021
390398055,2020-12-31,229336348.0,4971711.0,C,2020
390398055,2019-12-31,261090017.0,3348497.0,C,2019
390409290,2022-12-31,24514965.0,689552.0,C,2022
390409290,2021-12-31,24193229.0,1393035.0,C,2021
390409290,2020-12-31,23562332.0,1286607.0,C,2020
390409290,2019-12-31,24586546.0,661294.0,C,2019
390426450,2022-12-31,84507079.0,2434991.0,C,2022
390426450,2021-12-31,83527671.0,3033357.0,C,2021
390426450,2020-12-31,79580401.0,2727738.0,C,2020
390426450,2019-12-31,90530219.0,2530863.0,C,2019
390596039,2022-12-31,124490851.0,4716024.0,C,2022
390596039,2021-12-31,104531500.0,2411232.0,C,2021
390596039,2020-12-31,77629736.0,-2384612.0,C,2020
390596039,2019-12-31,79130346.0,1599661.0,C,2019
391029345,2022-12-31,236768389.0,6292141.0,C,2022
391029345,2021-12-31,256974550.0,15594430.0,C,2021
391029345,2020-12-31,233783173.0,4638629.0,C,2020
391029345,2019-12-31,160554615.0,2046542.0,C,2019
391051646,2023-09-30,18593817.0,630465.0,C,2023
391051646,2022-09-30,18982066.0,608553.0,C,2022
391051646,2021-09-30,16840925.0,540582.0,C,2021
391051646,2020-09-30,13197328.0,550130.0,C,2020
391051646,2019-09-30,15154126.0,434165.0,C,2019
391322831,2021-09-30,30438343.0,1081859.0,C,2021
391322831,2020-09-30,28354191.0,212841.0,C,2020
391322831,2019-09-30,35329189.0,478718.0,C,2019
391378239,2022-12-31,133106933.0,-18743632.0,C,2022
391378239,2021-12-31,94005950.0,-9671199.0,C,2021
391378239,2020-12-31,76530841.0,-19726923.0,C,2020
391378239,2019-12-31,132244049.0,-2190302.0,C,2019
391466018,2022-12-31,107375283.0,36758297.0,C,2022
391466018,2021-12-31,170085897.0,39036634.0,C,2021
391466018,2020-09-30,102571000.0,14100000.0,K,2020
391466018,2019-09-30,91217000.0,10057000.0,K,2019
391504693,2022-12-31,513547000.0,35629000.0,K,2022
391504693,2021-12-31,470601000.0,34481000.0,K,2021
391504693,2020-12-31,426382000.0,26185000.0,K,2020
391504693,2019-12-31,417757000.0,0.0,K,2019
391548955,2023-06-30,231687717.0,14161377.0,C,2022
391548955,2022-06-30,252074919.0,20296885.0,C,2021
391548955,2021-06-30,230008138.0,8825927.0,C,2020
391548955,2020-06-30,225636873.0,8582389.0,C,2019
391548955,2019-06-30,211592128.0,9263343.0,C,2018
391575354,2022-12-31,317901789.0,-14359236.0,C,2022
391575354,2021-03-31,218699122.0,-32256368.0,C,2020
391575354,2020-03-31,249982328.0,-25420100.0,C,2019
391575354,2019-03-31,274644560.0,2571411.0,C,2018
391635844,2021-12-31,82816019.0,312811151.0,C,2021
391635844,2020-12-31,71154803.0,59865496.0,C,2020
391635844,2019-12-31,91027987.0,246052543.0,C,2019
391637865,2022-12-31,2122700000.0,114300000.0,C,2022
391637865,2021-12-31,1505800000.0,84000000.0,C,2021
391637865,2020-12-31,1396300000.0,115200000.0,C,2020
391637865,2019-12-31,1687.0,375.0,C,2019
391890555,2022-12-31,73456703.0,329928.0,C,2022
391890555,2020-12-31,75093109.0,-575580.0,C,2020
391890555,2019-12-31,77846936.0,-7354225.0,C,2019
391892171,2019-03-31,76888444.0,619734.0,C,2018
392212122,2019-12-31,164322348.0,-5049365.0,C,2019
392213146,2022-04-30,82159072.0,-2346153.0,C,2021
392213146,2020-12-31,238815473.0,6081685.0,C,2020
